N,CPU,GPU_Bitonic,GPU_Bitonic_w/m,GPU_MergeSort
5,0,1.14816,0.085216,1.00058
6,0,0.94784,0.164608,1.08765
7,0,1.05766,0.325536,1.1383
8,0,1.09187,0.359232,1.13958
9,0,1.29936,0.527104,1.36554
10,0,1.42115,0.639072,1.31126
11,1,1.6281,0.768704,1.28867
12,4,1.82307,0.970112,1.41584
13,9,2.22826,1.17824,1.61699
14,17,2.71846,1.49165,1.85651
15,31,2.80829,1.93392,1.74333
16,79,3.6264,2.44992,2.38467
17,175,4.28912,2.63363,3.88189
18,363,10.8207,7.76765,5.77171
19,786,18.5886,15.6363,8.66966
20,1629,35.6266,32.8671,14.776
21,3527,74.6077,70.0225,27.3481
22,7593,158.675,150.244,53.9318
23,16246,340.244,324.28,111.819
24,34680,730.846,698.733,227.906
25,72358,1583.54,1503.06,532.631
26,153075,3482.24,3203.31,1101.87
27,324451,7485.97,6859.25,2687.53
28,695930,15994.5,14554.5,7450.26